;nonaeroAnthroF;;1.5;0.5;1.5;1.05;5.4;1.5
1952;1.3704682073;;;;;;;
1953;1.3911661699;;;;;;;
1954;1.4166841457;;;;;;;
1955;1.4369425565;;;;;;;
1956;1.4643071662;;;;;;;
1957;1.4914259611;;;;;;;
1958;1.5136882562;;;;;;;
1959;1.5405364691;;;;;;;
1960;1.5678257292;;;;;;;
1961;1.592880636;;;;;;;
1962;1.6224440556;;;;;;;
1963;1.6509510623;;;;;;;
1964;1.682601793;;;;;;;
1965;1.7133092706;;;;;;;
1966;1.7525410017;;;;;;;
1967;1.7807798872;;;;;;;
1968;1.8229567193;;;;;;;
1969;1.8641810957;;;;;;;
1970;1.9196655251;;;;;;;
1971;1.9594302371;;;;;;;
1972;2.0245175871;;;;;;;
1973;2.0992694004;;;;;;;
1974;2.1508323115;;;;;;;
1975;2.1862018563;;;;;;;
1976;2.233849091;;;;;;;
1977;2.2988584395;;;;;;;
1978;2.368068708;;;;;;;
1979;2.43049648;;;;;;;
1980;2.495481958;;;;;;;
1981;2.5483970373;;;;;;;
1982;2.5820591299;;;;;;;
1983;2.6348674169;;;;;;;
1984;2.683395873;;;;;;;
1985;2.7392058768;;;;;;;
1986;2.7947768948;;;;;;;
1987;2.8538743183;;;;;;;
1988;2.9323703458;;;;;;;
1989;2.9879502695;;;;;;;
1990;3.0341977525;;;;;;;
1991;3.0705878466;;;;;;;
1992;3.0943201691;;;;;;;
1993;3.1156343593;;;;;;;
1994;3.1459951005;;;;;;;
1995;3.1825838729;;;;;;;
1996;3.2244841381;;;;;;;
1997;3.2452718818;;;;;;;
1998;3.2951962;;;;;;;
1999;3.3380203853;;;;;;;
2000;3.3631698766;;;;;;;
2001;3.3931054487;;;;;;;
2002;3.4321146594;;;;;;;
2003;3.4819562761;;;;;;;
2004;3.5158917614;;;;;;;
2005;3.5547446203;;;;;;;
2006;3.5958365379;;;;;;;
2007;3.6299452864;;;;;;;
2008;3.6795470486;;;;;;;
2009;3.7060056996;;;;;;;
2010;3.7614046071;;;;;;;
2011;3.8054613038;;;;;;;
